Duration,Strongly_pos,Weekly_pos,strongly_neg,weakly_neg,neu,total,s_positive_average,w_positive_average,s_negative_average,w_negative_average,neutral_average,bal-2,bal-,sbp,
21-Jan,34,24,6,14,0,78,43.58974359,30.76923077,7.692307692,17.94871795,0,42.30769231,84.61538462,42.30769231,71.15384615
21-Feb,16,23,4,7,0,50,32,46,8,14,0,40,80,40,70
21-Mar,29,19,15,12,2,77,37.66233766,24.67532468,19.48051948,15.58441558,2.597402597,22.72727273,45.45454546,22.72727273,61.36363637
21-Apr,25,21,20,12,0,78,32.05128205,26.92307692,25.64102564,15.38461538,0,12.17948718,24.35897436,12.17948718,56.08974359
21-May,47,45,22,19,0,133,35.33834586,33.83458647,16.54135338,14.28571429,0,28.57142857,57.14285714,28.57142857,64.28571429
21-Jun,43,54,26,29,0,152,28.28947368,35.52631579,17.10526316,19.07894737,0,19.40789473,38.81578946,19.40789473,59.70394737
21-Jul,58,26,20,14,0,118,49.15254237,22.03389831,16.94915254,11.86440678,0,37.2881356,74.57627119,37.2881356,68.6440678
21-Aug,55,42,33,38,0,168,32.73809524,25,19.64285714,22.61904762,0,14.28571429,28.57142858,14.28571429,57.14285715
21-Sep,64,78,22,41,0,205,31.2195122,38.04878049,10.73170732,20,0,29.51219513,59.02439025,29.51219513,64.75609756
21-Oct,67,60,49,52,0,228,29.38596491,26.31578947,21.49122807,22.80701754,0,9.649122805,19.29824561,9.649122805,54.8245614
21-Nov,68,91,42,51,0,252,26.98412698,36.11111111,16.66666667,20.23809524,0,18.25396825,36.50793649,18.25396825,59.12698412
21-Dec,64,71,33,46,0,214,29.90654206,33.17757009,15.42056075,21.4953271,0,20.32710281,40.65420561,20.32710281,60.1635514
22-Jan,128,133,59,73,0,393,32.56997455,33.84223919,15.01272265,18.57506361,0,25.19083969,50.38167938,25.19083969,62.59541985
22-Feb,142,144,81,107,0,474,29.95780591,30.37974684,17.08860759,22.57383966,0,16.77215191,33.54430382,16.77215191,58.38607596
22-Mar,217,192,109,136,0,654,33.18042813,29.35779817,16.66666667,20.79510703,0,20.79510703,41.59021406,20.79510703,60.39755352
22-Apr,366,319,152,220,0,1057,34.62630085,30.17975402,14.38032167,20.81362346,0,24.92904446,49.85808892,24.92904446,62.46452223
22-May,431,379,168,275,0,1253,34.39744613,30.24740623,13.40782123,21.94732642,0,25.13966481,50.27932961,25.13966481,62.5698324
22-Jun,629,572,339,403,0,1943,32.37261966,29.43901184,17.44724653,20.74112198,0,19.27431806,38.54863612,19.27431806,59.63715903
22-Jul,646,605,352,427,0,2030,31.8226601,29.80295567,17.33990148,21.03448276,0,18.86699508,37.73399015,18.86699508,59.43349754
